ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
4,8,2,6,48,2017,6089,277,777000,2,5,56211,107,1497,0,15,11,11,30,9,14.8,121.36,150.0,16.0,0
4,2,1,8,62,2019,6504,1615,753000,2,5,9001,108,1199,1,15,12,11,25,8,18.2,88.7,110.0,15.0,0
1,8,2,16,134,2017,3818,782,1226000,5,7,65457,139,1997,0,23,10,17,29,7,16.0,140.0,320.0,17.0,0
4,2,1,8,62,2017,1339,156,725000,2,5,23682,141,1199,1,13,12,12,22,9,18.7,88.7,110.0,15.0,0
1,7,1,9,86,2020,5961,857,1150000,5,5,50000,107,1582,1,27,11,9,30,10,22.0,126.2,179.23388467374812,16.0,0
1,2,2,19,163,2015,4165,1869,629000,2,5,134557,141,1248,1,15,11,12,24,7,25.2,74.0,190.0,15.0,0
4,7,2,19,164,2013,10244,1676,447000,2,5,96567,141,1197,1,15,10,9,24,8,22.41,88.5,113.0,16.0,0
4,2,3,19,146,2015,3979,1676,400000,5,5,120000,139,998,1,10,7,5,13,0,23.1,67.04,90.0,16.0,0
1,5,2,19,151,2014,4051,1867,786000,2,7,83007,139,1248,1,15,12,10,23,6,20.77,88.8,200.0,15.0,0
4,2,1,8,62,2018,1341,164,745000,2,5,34000,106,1199,1,14,12,13,22,10,18.7,88.7,110.0,15.0,0
4,2,1,9,73,2014,1544,776,490000,2,5,81634,124,1197,0,16,11,14,17,7,18.9,82.0,114.0,14.0,0
4,7,2,8,59,2017,5630,1126,942000,2,5,57284,141,1497,0,27,12,13,29,9,18.0,117.6,145.0,16.0,0
4,8,2,6,48,2016,889,314,675000,5,5,70000,141,1499,0,15,13,13,25,7,15.63,110.4,140.0,16.0,0
4,2,2,8,58,2013,1188,1399,330000,5,5,70000,108,1198,1,12,10,6,16,5,19.4,86.8,109.0,16.0,0
4,7,2,30,280,2018,6401,1025,875000,5,5,46429,109,1496,0,18,13,11,26,8,17.8,105.5,140.0,16.0,0
4,2,1,19,143,2017,3970,63,869000,2,5,17624,109,1197,1,15,12,13,28,9,21.4,83.1,115.0,16.0,0
1,7,2,31,290,2012,2011,920,425000,5,5,100000,141,1598,1,17,12,10,18,7,20.54,103.6,250.0,15.0,0
4,7,1,8,59,2019,5626,1129,1070000,5,5,30000,315,1497,1,25,11,11,28,9,17.4,117.6,145.0,15.0,0
4,8,2,6,48,2018,7350,268,1025000,5,5,49690,121,1496,1,20,13,16,29,8,15.9,120.69,149.0,16.0,0
1,8,1,16,134,2016,3801,1734,1000000,5,7,110000,114,2179,1,19,11,14,22,8,16.0,140.0,330.0,16.0,0
4,7,1,5,41,2009,768,987,375000,5,5,50000,107,1368,1,18,12,9,23,7,16.0,106.46522829131652,115.0,15.0,0
4,7,1,5,41,2009,768,987,375000,5,5,50000,107,1368,1,18,12,9,23,7,16.0,106.46522829131652,115.0,15.0,0
4,8,1,6,48,2018,6088,273,844000,2,5,55702,107,1497,0,21,12,13,33,9,14.8,121.36,150.0,16.0,0
1,2,1,9,77,2016,1664,228,764000,5,5,45046,108,1396,1,18,11,14,24,7,21.19,88.73,220.0,16.0,0
4,2,2,19,161,2014,4141,1676,420000,5,5,53000,107,1197,1,10,9,7,16,0,18.5,85.8,114.0,16.0,0
1,2,1,19,143,2016,3968,176,684000,5,5,94695,109,1248,1,15,12,13,28,9,27.39,74.0,190.0,16.0,0
4,2,1,19,143,2019,3970,63,802999,6,5,22162,109,1197,1,15,12,13,28,9,21.4,83.1,115.0,16.0,0
4,2,2,9,82,2010,1711,1039,320000,5,5,70000,107,1086,1,9,6,6,16,4,17.92,62.1,96.1,13.0,0
1,7,1,8,59,2017,1209,1108,803999,2,5,115331,105,1498,1,17,12,10,23,7,26.0,98.6,200.0,15.0,0
1,7,2,20,186,2013,4610,949,1400000,5,5,70000,315,2148,0,19,12,16,26,6,10.0,170.0,400.0,17.0,0
4,2,2,19,163,2016,10403,1676,548000,2,5,42233,109,1197,1,11,7,7,26,6,22.38,88.5,113.0,16.0,0
4,2,1,9,73,2019,5604,98,619000,2,5,20941,109,1197,1,16,9,13,24,7,18.9,81.86,179.23388467374812,16.0,0
